AuthorID	Author_Name
289176873	Harold Widom
293191752	Marcelo Mydlarz
296237554	Arkadiusz Chworos
296886030	H. S. Alleyne
298429164	Dimitris Koukoulopoulos
299185413	Ellen Gethner
300308524	Charles Vanden Eynden
302910096	Eric V. Slud
303731672	Thierry Vander Borght
303922442	Roland Häggkvist
306068653	Balázs Keszegh
307687659	Eyal Kushilevitz
309585213	Dominic Obiyor
310684113	Linda C. Burkly
310780015	Zoltán Füredi
312157095	Nana Arizumi
314079889	Miklós Simonovits
314559449	Youness Lamzouri
315255689	Louis Meneus
319587374	William T. Driebe
321754361	Christos Gentsos
322877510	Bernhard Peucker-Ehrenbrink
323970052	Ariel Luis Wirkierman
324249650	Sophie Huczynska
325572746	Ronald A. DePinho
326235231	Mohand-Ouamar Hernane
327058663	John Bacsa
327701550	Jay H. Lefkowitch
327757988	Nir Ailon
327831254	Sameer Antani
328007018	Jean Walrand
328089576	Mariusz Meszka
329152426	Mohammad Zubaid
329325129	Gábor E. Tusnády
330087121	Barbara Teuchner
330109637	Kakajan Komurov
330929980	Gautami Bhowmik
330944439	Davide Imberti
333652752	M.H.J. Ahrend
334862450	Karl W. Hoppel
336214314	Osama Alkam
336282795	Susana C. Raimondi
336718527	Ohad N. Feldheim
337432198	Ludo Tolhuizen
339409979	Alexander Bolozdynya
340297912	Kurt Hornik
340644367	Avinatan Hassidim
340651397	Daniel Ruberman
340810877	Salvatore Passananti
341380447	Augustine O. Munagi
341823498	Yehuda Afek
342519951	Khristo N. Boyadzhiev
343311680	Ekaterina Ivanova-Todorova
343505355	Frans A. van Nieuwenhoven
344182284	David Goldsman
344460011	Alexis C. Kaporis
344555231	Menachem Kojman
344620521	Abbas F. Sadikot
345007406	Tanya Z. Berardini
347369834	Viviane Merzbach
347910533	Erik R. Dubberke
348227771	H. Aydinian
350203505	Aaron J. Cavosie
350364596	Marius Tucsnak
350566861	Miklós Ajtai
353076486	B. S. Ishkanov
354099228	P. Ruggi
354109890	M. DellaPietra
355153083	L. Auberbach
355333578	Uri Avraham
356529504	M. Kapichine
358985421	A. V. Skabelin
359547041	Isabelle Poizot-Martin
360490569	Doron Lancet
361154182	J. F. ShrinerJr.
361301894	Yonatan Aumann
362001222	J. Leon Kenemans
362541128	Ioannis P. Panapakidis
362944077	N. Pivnyuk
363910998	M Mahwald
368740717	Abbe Mowshowitz
369572974	L. A. Talysheva
369951634	N. Saggini
370850439	F. Hachon
371824908	Altunsu T
373819734	Michael Molloy
373859196	G. G. Dandapat
378250474	G. A. Dirac
380982395	Erik D. Demaine
384157523	Milan Randić
384214970	W P Maksvmowych
387084222	Peter Vojtáš
389481196	Joachim Lambek
391308037	S. Dhurandar
393552481	János Podani
394757422	J. Lamas-Valverde
395509047	L. Sexton-Kennedy
398787345	Suzanne M. J. Fleiszig
400464339	Rossana Mastrandrea
400752570	C. M. Suing
405058077	A. Kubarovsky
406196815	Michael A. Trick
406413374	Punchama Pacharn
408129260	Vittoria Cammisotto
410992855	P. Mijakowski
416392284	Kenneth A. Berman
416647334	Rene A. M. Walterbos
417720426	K. Kohlik
417725312	A.V. Stavinsky
419219831	Alan G. Palestine
419903800	P. Niss
423679732	Wanpracha Art Chaovalitwongse
425625733	W. Wistar Comfort
426398122	S. Ole Warnaar
428202352	Anne Camez
429779028	A. de Saint Sardos
435267006	N. Smith-Wilson
437517428	K. Schoenning
441991604	Edward H. Egelman
442660816	Ingo Wegener
444347517	Robert M. Solow
446737318	Michał Przykucki
464945372	Thomas Rothvoß
466258520	Madhu Sudan
473205244	Miroslaw Truszczynski
482359005	Godfrey D. Pearlson
514869525	Anthony Quas
526457287	Carlos López-Larrea
528904705	Martin Ruthardt
540295553	Robert Osserman
540781652	Jet Wimp
545877597	Irving H. Lavalle
560803986	Francesca Civano
581767464	Shimon Even
582562560	Esko Ukkonen
585135905	Remco van der Hofstad
586746168	Carsten Münker
589348073	G. Vander Marcken
591194496	Howard Chertkow
596186023	Gregory Y.H. Lip
597703575	Omar Khayyam
597782521	Christophe Le Maner
603496707	Beau M. Ances
607268846	Daniel Alpay
625360349	Petr A. Golovach
633739241	Lars-Olof Hattenbach
634021881	Anna Członkowska
634280958	Paul C. van Oorschot
636082160	Nick Donaldson
641837166	Christopher Pissarides
650522782	Bruno Beauquier
650789510	P. Peltonen
651318007	Daniele Binosi
662884676	Kathryn M. Zurek
663039683	Mamadou Moustapha Kanté
664540268	Samuel Karlin
665662454	Mark L. Van Natta
666136928	Santosh Jagade
667797404	Stephen Wolfram
667851684	Joseph Trakalo
668268231	E. Malinovski
668352601	Bernard Ramsahoye
668539309	Júlio Cézar Borella
669949012	Grégory Miermont
670719377	Donna F. Smoler
671552870	Gerda Leinsinger
672502242	Rogério Tenreiro
672574765	J.-M. Grießmeier
673579119	Pamela Sklar
674324259	F. Bechtel
674326937	F. Michel Dekking
676096588	A. Letessier-Selvon
679075995	Krishnaswami Alladi
679736193	Amos D. Korczyn
681296898	Tobias Neumann-Haefelin
681860619	Dorit S. Hochbaum
682243167	Francesco De Cobelli
682460690	Cornelia Reininger
682882806	R. Graham Cooks
683992045	Adam Timmis
684323845	Gary Chartrand
684890170	John C. Wierman
684928774	Beverly Girten
685665164	Hagit Attiya
685713488	Jorge Maspero
685768376	James Tonascia
686348918	F. A. Ringwald
686868155	Maria Yunakova
687129760	Paul Turán
687412612	Luc Longpré
687546805	Alfredo Poves
688524876	Rami Atar
688777942	Glenn Hurlbert
689293351	Yu.V. Zanevsky
690824916	Tord H. Ganelius
694944117	Gerhard J. Woeginger
695459364	Gilbert Kokwaro
696592876	Prabhakar K. Baliga
698296983	V. P. Kubarovsky
698450338	Claus Scheiderer
699791246	Ernest Adeghate
701885657	Stephen G. Hartke
702540796	Cyril C. Curtain
702634288	Ellen O'Dea
703037936	Victor Kaftal
704230226	S. L. Careccia
707154980	R. Daniel Mauldin
707858044	Filip Rybakowski
708185661	Alvaro R. De Pierro
708824733	Delphine Perrodin
710146756	P. Antipov
714214793	A. L. Dulmage
714847093	Garth Isaak
715708492	Kevin M. De Cock
716777316	William D. Sudderth
719665695	Béla Bollobás
720442962	A. P. Freyberger
720839854	Maria Klawe
720971666	Joanna Pankiewicz
721555415	David B. Grusky
722694938	Adriana Pacciaroni
723004343	Ezzat S. Younathan
726482114	Halina Bilokon
727003330	Mordecai J. Golin
728227273	Amanda Pascoe Streib
728370064	Karam Mounzer
729206339	S. von Dombrowski
730120269	Sonja A. Dames
730232003	Neil J. Calkin
731745793	Bruce M. Maggs
732596658	Joël Rivat
733554173	Robert Murcott
735166572	Arturo Azcorra
735303264	D. Ugolini
735860357	O. Solovianov
740039521	Hanan Abdelateef
740225577	Zurab Kiguradze
740415915	Kenneth J. Falconer
742312410	Nicola A. Hanania
742551315	E. Anciant
742846135	James M. Henle
748493765	Julien Bensmail
749281174	Livia Kinser
